ID,Id wymagania,Tytuł,Warunki wstępne,Opis kroków,Oczekiwany rezultat
11,R2,Rejestracja użytkownika - stosując ciąg liczb w polu Nazwisko,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Nazwisko uzupełnij dowolną ilością liczb 
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola Nazwisko zmienia kolor z szarego na czerwony, pod polem Nazwisko pojawia się tekst na czerwono ""Nieprawidłowa wartość."""
12,R2,Rejestracja użytkownika - stosując ciąg znaków specjalnych w polu Nazwisko,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole Nazwisko uzupełnij dowolnym ciągiem znaków specjalnych
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola Nazwisko zmienia kolor z szarego na czerwony, pod polem Nazwisko pojawia się tekst na czerwono ""Wartość zawiera nieprawidłowy znak.."""
13,R2,Rejestracja użytkownika - stosując ciąg pustych znaków w polu Hasło,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole hasło uzupełnij dowolną ilością pustych znaków ""spacji""
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Proszę podać hasło"""
14,R2,Rejestracja użytkownika - stosując ciąg pustych znaków w polu e-mail,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole e-mail uzupełnij dowolną ilością pustych znaków ""spacji""
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola e-mail zmienia kolor z szarego na czerwony, pod polem e-mail pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Proszę podać e-mail"""
15,R2,Rejestracja użytkownika - podając numer telefonu składający się z pustych znaków,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole telefon uzupełnij ciągiem pustych znaków
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola telefon zmienia kolor z szarego na czerwony, pod polem telefon pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Wprowadź dane w tym polu."""
16,R2,Rejestracja użytkownika - pozostawiając numer telefonu pusty,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole telefon pozostaw puste
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola telefon zmienia kolor z szarego na czerwony, pod polem telefon pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Wprowadź dane w tym polu."""
17,R2,Rejestracja użytkownika - podając numer telefonu składający się z ciągu cyfr różnego od 9 znaków,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole telefon uzupełnij ciągiem cyfr różnym od 9 znaków
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola telefon zmienia kolor z szarego na czerwony, pod polem telefon pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Niepoprawny format numeru telefonu"""
18,R2,Rejestracja użytkownika - podając numer telefonu wcześniej wykorzystany,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole telefon uzupełnij numerem telefonu wcześniej wykorzystanym
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola telefon zmienia kolor z szarego na czerwony, pod polem telefon pojawia się tekst na czerwono o obowiązku uzupełnienia pola ""Numer telefonu jest już zajęty"""
19,R2,Rejestracja użytkownika - nie stosując małych liter w polu Hasło,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole hasło uzupełnij uzupełnij ciągiem znaków nie stosując małych liter
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Nieprawidłowe hasło: musi zawierać co najmniej 1 małych liter."""
20,R2,Rejestracja użytkownika - nie stosując wielkich liter w polu Hasło,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole hasło uzupełnij uzupełnij ciągiem znaków nie stosując dużych liter
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Nieprawidłowe hasło: musi zawierać co najmniej 1 wielkich liter.."""
21,R2,Rejestracja użytkownika - nie stosując cyfr w polu Hasło,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole hasło uzupełnij uzupełnij ciągiem znaków nie stosując cyfr
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Nieprawidłowe hasło: musi zawierać przynajmniej 1 cyfr..."""
22,R2,Rejestracja użytkownika - nie stosując znaków specjalnych w polu Hasło,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole hasło uzupełnij uzupełnij ciągiem znaków nie stosując znaków specjalnych
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Nieprawidłowe hasło: musi zawierać przynajmniej 1 znaków specjalnych.."""
23,R2,Rejestracja użytkownika - pole powtórz hasło pozostawione puste,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole powtórz hasło pozostaw puste
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Potwierdzenie hasła nie pasuje..."""
24,R2,Rejestracja użytkownika - pole powtórz hasło zastosowanie pustych znaków,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole powtórz hasło uzupełnij dowolną ilością pustych znaków 
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Potwierdzenie hasła nie pasuje..."""
25,R2,Rejestracja użytkownika - pole powtórz hasło inne niż hasło,Użytkownik znajduję się na stronie https://konto.biedronka.pl/realms/loyalty/login-actions/registration?client_id=sfcc&tab_id=wFThQJGVVqI,"1. Pole powtórz hasło uzupełnij znakami innymi niż w polu hasło
 2. Pozostałe pola wypełnij prawidłowymi danymi
 3. Kliknij przycisk Zarejestruj się","Brak możliwości możliwośći zarejestrowania. Obwódki pola hasło zmienia kolor z szarego na czerwony, pod polem hasło pojawia się tekst na czerwono ""Potwierdzenie hasła nie pasuje..."""
26,R4,Sprawdzenie numeru karty lojalnościowej MB,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i ma aktywne konto,"1. Najedź kursorem na tekst ""Witaj Twoje imię"" (znajduję się po prawej stronie od pola wyszukaj)
 2. Z rozwiniętej listy kliknij w przycisk ""Moje dane""","Wyświetli się strona z danymi, numer karty widoczny w okienku pod napisem: ""Numer karty moja biedronka"""
27,R7,Zmiana danych przypisanych do konta,"Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/, ma aktywne konto i jest zalogowany","1. Najedź kursorem na tekst ""Witaj Twoje imię"" (znajduję się po prawej stronie od pola wyszukaj)
 2. Z rozwiniętej listy kliknij w przycisk ""Moje dane"" 
 3. Z lewej strony z menu ""Moje konto"" kliknij przycisk ""Moje dane"" 
 4. Kliknij przycisk ""Edytuj dane""","W nowej karcie wyświetli się formularz Edycji konta umożliwiający zmianę danych takich jak: e-mail, imię, naziwsko, nr telefonu,"
28,R8,Dostępność regulaminu korzystania home.biedronka.pl,"Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/, ma aktywne konto i jest zalogowany","1. Najedź kursorem na tekst ""Witaj Twoje imię"" (znajduję się po prawej stronie od pola wyszukaj)
 2. Z rozwiniętej listy kliknij w przycisk ""Moje dane"" 
 3. Z lewej strony z menu ""Moje konto"" kliknij przycisk ""Regulaminy""",Wyświetli się Regulamin zakupów internetowych w sklepie internetowym Biedronka Home
29,R9,Logowanie do sklepu - Happy Path,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i ma aktywne konto,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Wypełnij pole E-mail / Nr telefonu / Nr karty lojalnościowej dowolnie prawidłowymi danymi i kliknij przycisk ""Zaloguj się""
 4. W polu hasło wpisz prawidłowe hasło i kliknij przycisk ""Zaloguj się""","Poprawne zalogowanie na stronie głównej o czym informuję tekst ""Witaj Twoje imię"" w miejscu gdzie wcześniej był przycisk ""Logowanie"""
30,R9,Wylogowanie ze sklepu - Happy Path,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i jest zalogowany,"1. Najedź kursorem na tekst ""Witaj Twoje imię"" (znajduję się po prawej stronie od pola wyszukaj)
 2. Z rowiniętej listy kliknij w przycisk ""Wyloguj się""","Poprawne wylogowanie. Na stronie głównej w miejscu gdzie był tekst ""Witaj Twoje imię"" pojawi się przycisk ""Logowanie"""
31,R9,Logowanie do sklepu pozostawiając puste pole E-mail / Nr telefonu / Nr karty lojalnościowej,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej pozostaw puste (nic nie wpisuj).
 4. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowanie. Dodatkowo wyskakuję małę okienko z informacją ""Wypełnij to pole"""
32,R9,"Logowanie do sklepu z wykorzystaniem pustych znaków (""spacji"")",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij dowolną ilością pustych znaków (""spacji"")
 4. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowania. Ramka pola ""E-mail / Nr telefonu / Nr karty lojalnościowej"" zmienia kolor na czerwony oraz pod polem pojawia się tekst na czerwono ""Nieprawidłowa nazwa użytkownika."""
33,R9,Logowanie do sklepu z wykozystaniem fikcyjnego adresu e-mail,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij fikcyjnym adresem e-mail
 4. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowania. Ramka pola ""E-mail / Nr telefonu / Nr karty lojalnościowej"" zmienia kolor na czerwony oraz pod polem pojawia się tekst na czerwono ""Nieprawidłowa nazwa użytkownika."""
34,R9,Logowanie do sklepu wpisując losowy ciąg znaków,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij losowym ciągiem znaków
 4. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowania. Ramka pola ""E-mail / Nr telefonu / Nr karty lojalnościowej"" zmienia kolor na czerwony oraz pod polem pojawia się tekst na czerwono ""Nieprawidłowa nazwa użytkownika."""
35,R9,Logowanie do sklepu wpisując w pole Hasło błędne hasło,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i ma aktywne konto,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij prawidłowymi danymi
 4. Kliknij przycisk ""Zaloguj się""
 5. W polu hasło wpisz błędne hasło 
 6. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowania. Ramka pola ""Hasło"" zmienia kolor na czerwony oraz pod polem pojawia się tekst na czerwono ""Nieprawidłowa hasło."""
36,R9,Logowanie do sklepu pozostawiając pole Hasło puste,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i ma aktywne konto,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij prawidłowymi danymi
 4. Kliknij przycisk ""Zaloguj się""
 5. Pole hasło pozostaw puste 
 6. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowania. Ramka pola ""Hasło"" zmienia kolor na czerwony oraz pod polem pojawia się tekst na czerwono ""Nieprawidłowa hasło."""
37,R9,"Logowanie do sklepu wpisując w pole Hasło dowolny ciąg pustych znaków ""Spacji""",Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i ma aktywne konto,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij prawidłowymi danymi
 4. Kliknij przycisk ""Zaloguj się""
 5. Pole hasło uzupełnij dowolnym ciągiem pustych znaków 
 6. Kliknij przycisk ""Zaloguj się""","Brak możliwości zalogowania. Ramka pola ""Hasło"" zmienia kolor na czerwony oraz pod polem pojawia się tekst na czerwono ""Nieprawidłowa hasło."""
38,R10,Możliwość resetowania hasła,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/ i ma aktywne konto,"1. Kliknij przycisk ""Logowanie""
 2. W okienku które wyskoczy ponownie klikamy w przycisk ""Logowanie""
 3. Pole E-mail / Nr telefonu / Nr karty lojalnościowej uzupełnij prawidłowymi danymi
 4. Kliknij przycisk ""Zaloguj się""
 5. Pod polem hasło kliknij przycisk ""Nie pamiętasz hasła?"" 
 6. Wpisz numer telefonu do którego planowana jest zmiana hasła
 7. Zaloguj się używając hasła wysłanego w wiadomości SMS","Wyświetli się strona z formularzem ""aktualizacja hasła"" Musisz zmienić swoje hasło aby aktywować swoje konto. Z dwoma polami Hasło i Potwierdź hasło"
39,R11,Katalog produktów umożliwiający maksymalne ułatwienie odnalezienia konkretnego produktu np.. Noże,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Najedź kursorem na jeden z głównych rozdziałów katalogu produktów zaczynający się od ""Kuchnia""
 2. Z rozwijanej listy podrozdziałów i kategorii kliknij w przycisk ""Noże""",Wyświetli się lista dostępnych noży
40,R12,Dodawanie produktów do koszyka bezpośrednio ze strony głównej,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Najedź kursorem myszki na dowolny wybrany produkt
 2. Kliknij przycisk ""Dodaj do koszyka""","Wyświeli się okienko pokazujące aktualną zawartość koszyka. Po dodaniu w miejscu gdzie był przycisk ""Dodaj do koszyka"" pojawi się liczba sztuk produktu w koszyku z możliwością dodania więcej lub mniej"
41,R12,Dodawanie produktów do koszyka po wyszukaniu,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Deska""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy produktów wybierz dowolny i naciśnij przycisk ""Dodaj do koszyka""","Wyświeli się okienko pokazujące aktualną zawartość koszyka. Po dodaniu w miejscu gdzie był przycisk ""Dodaj do koszyka"" pojawi się liczba sztuk produktu w koszyku z możliwością dodania więcej lub mniej"
42,R12,Dodawanie produktów do koszyka bezpośrednio z karty szczegółów produktu,Użytkownik znajduję się na stronie głównej https://home.biedronka.pl/,"1. Kliknij w pole ""Wyszukaj w Biedronce"" 
 2. Wpisz ""Nóż""
 3. Kliknij przycisk lupki 
 4. Z wyświetlonej listy kliknij w dowolny produkt
 5. Kliknij w przycisk ""Dodaj do koszyka""","Wyświeli się okienko pokazujące aktualną zawartość koszyka. Po dodaniu w miejscu gdzie był przycisk ""Dodaj do koszyka"" pojawi się liczba sztuk produktu w koszyku z możliwością dodania więcej lub mniej"
43,R12,Usuwanie produktów z koszyka bezpośrednio ze strony głównej,Użytkownik jest na stronie głównej https://home.biedronka.pl/ i ma w koszyku produkt,"1. Najedź kursorem na symbol koszyka w prawym górnym rogu
 2. W okienku kliknij przycisk ""Usuń produkt""",Produkt zostanie usunięty z koszyka. Wartość koszyka zostanie pomniejszona o wartość usuniętego produktu.
44,R12,Usuwanie produktów z koszyka,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku produkty,"1. Najedź kursorem na przedmiot który chcesz usunąć
 2. Kliknij przycisk ""Usuń produkt""",Produkt zostanie usunięty z koszyka. Wartość koszyka zostanie pomniejszona o wartość usuniętego produktu.
45,R12,Zmiana ilości produktów w koszyku,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku produkty,"1. Najedź kursorem na ikonę koszyka w prawym górnym rogu 
 2. Z rozwiniętej listy kliknij w przycisk białego plusa w kółeczku na niebieskim tle",Liczba (pomiędzy znakiem minus i plus) informująca o ilości danego produktu w koszyku zmieni się. Automatycznie zmienia się również wartość koszyka o wartość zmienianego produktu.
46,R14,Informacja o minimalnej wartości zamówienia,Użytkownik jest na stronie https://home.biedronka.pl/cart i ma w koszyku produkt o wartości poniżej 15 zł,,"W sekcji PODSTUMOWANIE pod Wartością RAZEM (z podatkiem VAT) pojawi się komunikat wyświetlany na czerwono informujący: ""Minimalna kwota zamówienia wynosi 15,00 zł"""
47,R15,Zapamiętanie zawartości koszyka,"Użytkownik jest na stronie https://home.biedronka.pl, jest zalogowany i ma w koszyku produkty","1. Najedź kursorem na ""Witaj Twoje Imie"" 
 2. Z rozwiniętej listy kliknij wyloguj
 3. Zaloguj się ponownie",Po zalogowaniu zawartość koszyka pozostaje taka sama jak przed wylogowaniem
48,R15,Zapamiętanie zawartości koszyka - inna przeglądarka,"Użytkownik posiada aktualne konto w sklepie intenetowym biedronka home, produkty dodawał do koszyka w przeglądarce opera","1. Otwórz przeglądarkę chrome
 2. Wejdź na stronę https://home.biedronka.pl/
 3. Zaloguj się",Po zalogowaniu zawartość koszyka pozostaje taka jaka były uzupełniona wcześniej na przeglądarce Opera
49,R16,Dodanie produktu do ulubionych niezarejetrowany użytkownik,Uzytkownik znajduję się na stronie https://home.biedronka.pl/ i nie posiada konta użytkownika,"1. Dodaj produkt do ulubionych klikając w serduszko przy karcie produktu ""Dodaj do listy życzeń""",Brak możliwości dodania produktu do ulubionych. Wyświetli się okienko z Kartą Moja Biedronka z prośbą o zalogowanie się
50,R16,Dodanie produktu do ulubionych bezpośrednio ze strony głównej,Uzytkownik znajduję się na stronie https://home.biedronka.pl/ i jest zalogowany,"1. Najedź kursorem na dowolny produkt
 2. Kliknij przycisk serduszko ""Dodaj do listy życzeń""","Serduszko zmieni kolor z białego na czarny, dodatkowo w prawym górnym rogu przy serduszku ""Lista życzeń"" pojawi się cyfra w kółeczku na niebieskim tle informująca o liczbie produktów dodanych do ulubionych"
51,R16,Dodawanie produktów do ulubionych po wyszukaniu,Uzytkownik znajduję się na stronie https://home.biedronka.pl/ i jest zalogowany,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Deska""
 3. Najedz kursorem na dowolny produkt
 4. Kliknij przycisk serduszko ""Dodaj do listy życzeń""","Serduszko zmieni kolor z białego na czarny, dodatkowo w prawym górnym rogu przy serduszku ""Lista życzeń"" pojawi się cyfra w kółeczku na niebieskim tle informująca o liczbie produktów dodanych do ulubionych"
52,R16,Dodawanie produktów do ulubionych bezpośrednio z karty szczegółów produktu,Uzytkownik znajduję się na stronie https://home.biedronka.pl/ i jest zalogowany,"1. Kliknij w pole ""Wyszukaj w Biedronce""
 2. Wpisz ""Deska""
 3. Najedz kursorem na dowolny produkt i kliknij w niego
 4. Kliknij przycisk serduszko ""Dodaj do listy życzeń""","Serduszko zmieni kolor z białego na czarny, dodatkowo w prawym górnym rogu przy serduszku ""Lista życzeń"" pojawi się cyfra w kółeczku na niebieskim tle informująca o liczbie produktów dodanych do ulubionych"
